gletu	gle
gletu	let
glico	gic
glico	gli
gluta	glu
gocti	goc
gotro	got
gradu	rau
grake	gra
grana	ga'a
grasu	ras
greku	rek
grusi	rus
grute	rut
gubni	gub
gugde	gu'e
gugde	gug
gundi	gud
gunka	gu'a
gunka	gun
gunma	gum
gunro	gu'o
gunro	gur
gunta	gut
gurni	gru
guska	guk
gusni	gu'i
gusni	gus
gutci	guc
guzme	guz
guzme	zme
jadni	ja'i
jadni	jad
jalge	ja'e
jalge	jag
jamfu	jaf
jamfu	jma
jamna	jam
janbe	jab
janco	jan
janli	jal
jansu	jas
janta	jat
jarco	ja'o
jarki	jak
jaspu	jap
jatna	ja'a
javni	jva
jbama	bam
jbari	jba
jbena	jbe
jbera	jer
jbini	bi'i
jbini	bin
jdari	jar
jdice	jdi
jdima	di'a
jdini	di'i
jdini	din
jduli	dul
jduli	jdu
jecta	je'a
jecta	jec
jeftu	jef
jegvo	je'o
jegvo	jeg
jelca	jel
jemna	jme
jenca	jen
jendu	jed
jenmi	jei
jenmi	jem
jersi	je'i
jerxo	jex
jesni	jes
jetce	je'e
jetnu	je'u
jetnu	jet
jgalu	ja'u
jganu	jga
jgari	jai
jgena	jge
jgina	gin
jgira	jgi
jgita	git
jibni	jbi
jibri	jib
jicmu	cmu
jijnu	jij
jikca	jik
jilka	jil
jimca	jic
jimpe	jmi
jimte	jit
jinga	ji'a
jinga	jig
jinme	jim
jinru	jir
jinsa	jis
jinvi	ji'i
jinvi	jiv
jinzi	jiz
jipno	ji'o
jipno	jip
jitfa	jif
jitro	tro
jivna	jvi
jmaji	jaj
jmina	min
jmive	ji'e
jmive	miv
jordo	jo'o
jordo	jor
jorne	jo'e
jorne	jon
jubme	jbu
jubme	jub
jufra	ju'a
jufra	juf
jukni	juk
jukpa	jup
julne	ju'e
jundi	ju'i
jundi	jud
jungo	jug
junla	jul
junri	jur
jurme	jum
jursa	jus
jutsi	jut
juxre	jux
jvinu	ji'u
jvinu	vin
kagni	kag
kajde	jde
kakne	ka'e
kalri	kar
kalsa	kas
kalte	kat
kampu	kau
kancu	kac
kandi	kad
kanji	kaj
kanla	kal
kanro	ka'o
kansa	kan
kantu	ka'u
kanxe	kax
karbi	kab
katna	ka'a
kavbu	kav
kecti	ke'i
kecti	kec
kelci	kei
kelci	kel
kelvo	ke'o
kenra	ken
kensa	kes
kerfa	kre
kerlo	ker
ketco	ket
ketco	tco
kevna	ke'a
kevna	kev
kicne	ki'e
kicne	kic
kijno	kij
kilto	ki'o
kinli	kil
kisto	kis
klaji	laj
klaku	kak
klama	kla
klani	lai
klesi	kle
klesi	lei
klina	kli
kliti	kit
klupe	lu'e
klupe	lup
kluza	luz
kobli	ko'i
kobli	kob
kojna	ko'a
kojna	koj
kolme	ko'e
kolme	kol
komcu	kom
konju	ko'u
konju	kon
korbi	koi
korbi	kor
korcu	kro
korka	kok
kosta	kos
krasi	kra
krati	ka'i
krefu	ke'u
krefu	ref
krici	kri
krinu	ki'u
krinu	rin
krixa	ki'a
krixa	kix
kruca	kuc
kruji	ruj
kruvi	kru
kruvi	ruv
kubli	kub
kufra	kuf
kukte	kuk
kulnu	klu
kumfa	ku'a
kumfa	kum
kunra	kun
kunti	kut
kurfa	kur
kurji	ku'i
kurji	kuj
kuspe	ku'e
kuspe	kup
kusru	kus
lacpu	cpu
lacpu	lap
lacri	lac
ladru	lad
lafti	laf
lakne	la'e
lakse	lak
lalxu	la'u
lamji	la'i
lamji	lam
lanli	lal
lanme	lan
lanxe	lax
lanzu	laz
larcu	lar
lasna	la'a
latmo	la'o
lebna	le'a
lebna	leb
lenjo	le'o
lenjo	len
lenku	lek
lerci	lec
lerfu	le'u
lerfu	ler
libjo	lib
lidne	li'e
lifri	fri
lifri	lif
lijda	jda
limna	lim
lindi	lid
linji	li'i
linji	lij
linsi	lin
linto	li'o
lisri	lis
liste	ste
litce	lic
litki	lik
litru	li'u
livla	lil
logji	loj
lojbo	jbo
lojbo	lob
loldi	loi
loldi	lol
lorxu	lo'u
lorxu	lor
lubno	lu'o
lujvo	jvo
lujvo	luv
lumci	lu'i
lumci	lum
lunbe	lub
lunra	lur
lunsa	lus
mabla	mal
mabru	mab
macnu	cnu
makcu	ma'u
makfa	maf
maksi	mak
malsi	mas
mamta	mam
manci	mac
manku	man
manri	mar
mapku	map
mapti	mat
marbi	mra
marce	ma'e
marde	mad
margu	mag
marji	mai
marji	maj
marxa	max
masno	sno
masti	ma'i
mavji	mav
maxri	xri
mebri	meb
megdo	meg
mekso	me'o
mekso	mek
melbi	mel
melbi	mle
meljo	mej
menli	men
mensi	me'i
mensi	mes
mentu	me'u
mentu	met
merko	mer
merli	mre
mexno	mex
midju	mij
mifra	mif
mikce	mic
mikri	mik
milti	mil
milxe	mli
minde	mi'e
minde	mid
minji	mi'i
minra	mir
mintu	mi'u
mintu	mit
mipri	mip
misno	mi'o
misno	mis
mitre	tre
mixre	mix
mixre	xre
mlana	mla
mlatu	lat
mleca	me'a
mleca	mec
mledi	led
mluni	lun
mokca	moc
moklu	mo'u
moklu	mol
molki	mlo
molro	mo'o
morji	mo'i
morji	moj
morko	mor
morna	mo'a
morna	mon
morsi	mro
mosra	mos
mrilu	mri
mruli	mru
mucti	mut
mudri	mud
mukti	mu'i
mukti	muk
mulno	mu'o
mulno	mul
munje	mu'e
munje	muj
mupli	mup
murta	mu'a
murta	mur
muslo	mus
mutce	tce
muvdu	mu'u
muvdu	muv
muzga	muz
nabmi	nam
nakni	nak
nalci	na'i
namcu	na'u
namcu	nac
nanba	nab
nanca	na'a
nandu	nad
nanmu	nau
nanvi	nav
narge	nag
narju	naj
natfe	na'e
natfe	naf
natmi	nai
natmi	nat
naxle	nax
naxle	xle
nazbi	naz
nazbi	zbi
nejni	nen
nelci	nei
nelci	nel
nenri	ne'i
nenri	ner
nibli	ni'i
nibli	nib
nicte	cte
nikle	nik
nilce	ni'e
ninmu	ni'u
ninmu	nim
nirna	nir
nitcu	tcu
nivji	niv
nixli	nix
nixli	xli
nobli	no'i
nobli	nol
notci	noi
notci	not
nukni	nuk
nupre	nu'e
nupre	nup
nurma	num
nutli	nu'i
nutli	nul
nuzba	nuz
pacna	pa'a
pagbu	pag
pagbu	pau
pagre	gre
pajni	pai
palci	pac
palku	pak
panci	pan
pandi	pad
panlo	pa'o
panpi	pap
pante	pat
panzi	paz
parbi	pab
pastu	pas
patfu	pa'u
patfu	paf
patxu	pax
pelji	ple
pelxu	pel
pemci	pem
penbi	peb
pencu	pe'u
pencu	pec
pendo	pe'o
pendo	ped
penmi	pe'i
penmi	pen
pensi	pei
pensi	pes
perli	per
pesxu	pex
petso	pet
pezli	pez
picti	pic
pilji	pi'i
pilka	pi'a
pilka	pil
pilno	pli
pimlu	pi'u
pimlu	pim
pindi	pid
pinfu	pif
pinka	pik
pinsi	pis
pinta	pin
pinxe	pix
pipno	pi'o
pixra	pir
pixra	xra
platu	pla
pleji	le'i
pleji	lej
plibu	pib
plipe	pi'e
plipe	pip
plita	pit
plixa	lix
pluja	luj
pluka	pu'a
pluka	puk
pluta	lu'a
pluta	lut
polje	plo
polno	pol
ponjo	po'o
ponjo	pon
ponse	po'e
ponse	pos
porpi	po'i
porpi	pop
porsi	poi
porsi	por
porto	pot
prali	pal
prami	pa'i
prami	pam
prane	pa'e
preja	pe'a
preja	pej
prenu	pre
preti	rei
preti	ret
prije	pij
prina	pri
prosa	ro'a
prosa	ros
pruce	ru'e
pruce	ruc
pruni	pun
pruxi	ru'i
pruxi	rux
pulce	pu'e
pulce	puc
punji	pu'i
punji	puj
punli	pul
purci	pru
purci	pur
purdi	pud
purmo	pu'o
purmo	pum
radno	ra'o
rafsi	raf
ragve	rav
raktu	ra'u
ralci	rac
ralju	ral
ralte	ra'e
randa	rad
rango	rag
ranji	ra'i
ranmi	ram
ranti	ran
ranxi	rax
rapli	rap
rarna	rar
ratni	rat
rebla	reb
rectu	re'u
rectu	rec
remna	re'a
remna	rem
renro	re'o
renro	rer
renvi	re'i
renvi	rev
respa	res
ricfu	cfu
ricfu	rif
rigni	rig
rijno	rij
rilti	ril
rimni	rim
rinju	ri'u
rinka	ri'a
rinka	rik
rirni	rir
rirxe	ri'e
rismi	ris
ritli	ri'i
rivbi	riv
rokci	ro'i
rokci	rok
romge	rog
ropno	ro'o
ropno	ron
rorci	ror
rotsu	ro'u
rotsu	rot
rotsu	tsu
rozgu	roz
rozgu	zgu
ruble	ble
ruble	rub
rufsu	ruf
runme	rum
rupnu	ru'u
rupnu	rup
rusko	ru'o
rusko	ruk
rutni	run
sabji	sab
sadjo	djo
sakci	sak
sakli	sal
sakta	sat
salci	sla
salpo	sa'o
sampu	sap
sance	sna
sanga	sa'a
sanga	sag
sanji	saj
sanli	sa'i
sanmi	sai
sarcu	sa'u
sarji	sra
sarxe	sax
saske	ske
satre	sa'e
savru	sav
savru	vru
sazri	saz
sefta	sfe
selci	sle
selfu	se'u
selfu	sef
semto	sme
senci	sec
senpi	sen
senta	set
senva	sev
senva	sne
sepli	sei
sepli	sep
serti	ser
setca	se'a
sevzi	se'i
sevzi	sez
sfasa	sfa
sfofa	sfo
sfubu	su'u
sfubu	sub
siclu	sil
sicni	si'i
sidbo	si'o
sidbo	sib
sidju	dju
sigja	sig
silka	sik
simlu	mlu
simsa	smi
simxu	si'u
simxu	sim
sinma	si'a
sinxa	sni
sipna	sip
sirji	sir
sirxo	six
sisku	sis
sisti	sti
sitna	sit
sivni	siv
skami	sam
skapi	kap
skari	ska
skicu	ski
skiji	sij
skina	kin
skori	sko
skoto	ko'o
skoto	kot
skuro	ku'o
slabu	sau
slari	sar
slasi	las
sligu	lig
slilu	sli
slovo	lo'o
slovo	lov
sluji	slu
smaji	sma
smoka	smo
smuci	muc
smuni	mun
smuni	smu
snada	sad
snanu	nan
snidu	nid
snime	si'e
snipa	nip
snuji	nuj
snura	nu'a
snura	nur
snuti	nut
sobde	so'e
sobde	sob
sodva	sod
softo	sof
solji	slo
solri	sol
sombo	so'o
sombo	som
sonci	soi
sonci	son
sorcu	soc
sorcu	sro
sorgu	sog
sovda	so'a
sovda	sov
spaji	paj
spano	san
spati	spa
speni	spe
spisa	spi
spofu	po'u
spofu	pof
spoja	po'a
spoja	poj
spuda	spu
sputu	pu'u
sputu	put
sraji	raj
sraku	rak
srana	ra'a
srasu	sas
srera	sre
sruma	ru'a
sruri	rur
sruri	sru
stace	sac
staku	tak
stali	sta
stapa	tap
steba	seb
steci	te'i
steci	tec
stedu	sed
stela	tel
stero	te'o
stici	sic
stidi	sid
stidi	ti'i
stika	tik
stizu	tiz
stodi	sto
stuna	sun
stura	su'a
stura	tur
stuzi	stu
stuzi	tuz
sucta	suc
sudga	sud
sufti	sfu
suksa	suk
sumji	suj
sumti	su'i
sumti	sum
sunga	sug
sunla	sul
surla	sur
sutra	sut
tabno	tab
tadni	tad
tagji	tag
talsa	tal
tamji	taj
tanbo	ta'o
tance	tac
tanru	tau
tansi	tas
tanxe	ta'e
tanxe	tax
tarci	tar
tarmi	tai
tarmi	tam
tarti	tra
tatpi	ta'i
tatru	tat
tavla	ta'a
tavla	tav
taxfu	ta'u
taxfu	taf
tcaci	cac
tcadu	tca
tcena	ten
tcica	tic
tcidu	tid
tcila	til
tcima	ti'a
tcima	tim
temci	tei
temci	tem
tenfa	tef
tengu	te'u
tengu	teg
terdi	ted
terpa	te'a
terpa	tep
terto	tet
tigni	tig
tikpa	tip
tilju	tij
tinbe	tib
tirna	tin
tirse	tir
tisna	tis
titla	tit
tivni	tiv
tixnu	ti'u
tixnu	tix
toknu	tok
toldi	tod
tonga	to'a
tonga	tog
tordu	to'u
tordu	tor
torni	to'i
torni	ton
traji	rai
trene	re'e
trene	ren
tricu	ric
trina	tri
trixe	rix
trixe	ti'e
troci	toc
troci	toi
tsali	tsa
tsani	tan
tsiju	tsi
tsina	sin
tubnu	tu'u
tugni	tu'i
tugni	tug
tujli	tuj
tumla	tu'a
tumla	tum
tunba	tub
tunka	tuk
tunlo	tu'o
tunlo	tul
tunta	tun
tuple	tu'e
tuple	tup
turni	tru
tutci	tci
tutra	tut
vacri	var
vajni	vai
vajni	vaj
valsi	val
valsi	vla
vamji	va'i
vamji	vam
vamtu	vat
vanbi	vab
vanci	vac
vanju	van
vasru	vas
vasru	vau
vasxu	va'u
vasxu	vax
vecnu	ve'u
vecnu	ven
venfu	vef
vensa	ves
verba	ve'a
verba	ver
vibna	vib
vidru	vir
vifne	vif
vikmi	vi'i
vikmi	vim
viknu	vik
vimcu	vi'u
vimcu	vic
vindu	vid
vinji	vij
vipsi	vip
virnu	vri
viska	vi'a
viska	vis
vitci	vit
vitke	vi'e
vitno	vi'o
vlagi	lag
vlile	vil
vlipa	vli
vofli	voi
vofli	vol
voksa	vo'a
voksa	vok
vorme	vor
vorme	vro
vraga	vra
vreji	rej
vreji	vei
vreta	vre
vrude	vu'e
vrude	vud
vrusi	vu'i
vrusi	vus
vukro	vu'o
vukro	vur
xabju	xa'u
xadba	xab
xadni	xad
xajmi	xam
xaksu	xak
xalka	xal
xamgu	xag
xamgu	xau
xampo	xa'o
xampo	xap
xamsi	xas
xance	xa'e
xance	xan
xanri	xar
xarci	xa'i
xarci	xac
xarju	xaj
xatra	xa'a
xatsi	xat
xazdo	xaz
xazdo	zdo
xebni	xei
xebni	xen
xebro	bro
xebro	xeb
xecto	cto
xecto	xet
xedja	xe'a
xedja	xej
xekri	xe'i
xekri	xek
xelso	xes
xendo	xe'o
xendo	xed
xenru	xe'u
xenru	xer
xexso	xex
xindo	xin
xinmo	xim
xirma	xi'a
xirma	xir
xislu	xi'u
xislu	xil
xispo	xip
xlali	xla
xlura	xlu
xotli	xoi
xotli	xol
xrabo	rab
xrani	xai
xriso	xi'o
xriso	xis
xruba	xub
xruki	xuk
xrula	rul
xruti	xru
xukmi	xu'i
xukmi	xum
xunre	xu'e
xunre	xun
xurdo	xu'o
xurdo	xur
xusra	xu'a
xusra	xus
xutla	xul
zabna	za'a
zabna	zan
zajba	zaj
zalvi	zal
zanru	zar
zanru	zau
zarci	zac
zarci	zai
zargu	za'u
zargu	zag
zasni	zas
zasti	za'i
zasti	zat
zbabu	bab
zbasu	zba
zbepi	zbe
zdani	zda
zdile	zdi
zekri	zei
zekri	zer
zenba	ze'a
zenba	zen
zepti	zep
zetro	zet
zgana	zga
zgike	gi'e
zgike	zgi
zifre	zi'e
zifre	zif
zinki	zi'i
zinki	zin
zirpu	zi'u
zirpu	zir
zivle	vle
zivle	ziv
zmadu	mau
zmadu	zma
zmiku	zmi
zukte	zu'e
zukte	zuk
zumri	zmu
zungi	zug
zunle	zul
zunti	zu'i
zunti	zun
zutse	tse
zutse	zut
zvati	zva
